case_id,hamiltonian_path,hamiltonian_sha256,integrals_path,integrals_sha256,metadata_path,source_json_path,source_cache_path,source_cache_sha256,symbols,basis,charge,spin,active_electrons,active_orbitals,qubits,source_casscf_energy_hartree,source_cache_reference_energy_hartree,reference_converged,active_orbital_indices,active_orbital_selection_method
H6_near_equi_cc_pVTZ_2,systems/H6_near_equi_cc_pVTZ_2/hamiltonian.npz,2dc5cb28788ad301c13f0268f37ca2ad604226df9cdfe94890c1de40ce42f5a8,systems/H6_near_equi_cc_pVTZ_2/inputs/source_integrals.npz,b38bcb6c69b64db611bd023326cf97ee42c869557f76fc6c246cb4c28b4f2399,systems/H6_near_equi_cc_pVTZ_2/metadata.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/H6 near equi._cc-pVTZ_2.json,hamiltonian_cache/casscf_natorb/be4e6ce022cabb6abc0d5faa5c31221d237ac6a2ee40dd130cd7d382c4bce2a7.npz,f7fb8827253341a605509866cd108a65401a4885597970eff1cf962757ff4453,"[""H"",""H"",""H"",""H"",""H"",""H""]",cc-pVTZ,0,2,6,6,12,-3.1849788446911473,-3.1849788446982403,True,[],source cached CASSCF natural-orbital active space; global MO indices not exported
N2_equi_cc_pVTZ_0,systems/N2_equi_cc_pVTZ_0/hamiltonian.npz,72e50378d2781b6818c41d8f34b29ff7d7722efd587751e13505bf4f963c2a1b,systems/N2_equi_cc_pVTZ_0/inputs/source_integrals.npz,203aa4d2ed94e454d5f3fd4c94bd452b1f1aec98957fe214a028d647bfd95d80,systems/N2_equi_cc_pVTZ_0/metadata.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/N2 equi._cc-pVTZ_0.json,hamiltonian_cache/casscf_natorb/56eab94e96a54cb31395cd5a3523a5c4e38a934d54e4b6d18b3fad6513cc447b.npz,782e0e961bb35b81c69b32b2758600ef46fe1b2613ca44153252eabd9de4772a,"[""N"",""N""]",cc-pVTZ,0,0,6,6,12,-109.1001311657515,-109.10013116577147,True,[],source cached CASSCF natural-orbital active space; global MO indices not exported
m_Benzyne_equi_cc_pVTZ_2,systems/m_Benzyne_equi_cc_pVTZ_2/hamiltonian.npz,a84baa695b5efd7f58ba175134d9f411b66dda365b4e9f81bd557234e5a94b24,systems/m_Benzyne_equi_cc_pVTZ_2/inputs/source_integrals.npz,5bc480a464e2380742b754c6c13eed801d59dfffac1cec6e9fcfe5587eb0f805,systems/m_Benzyne_equi_cc_pVTZ_2/metadata.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/m-Benzyne equi._cc-pVTZ_2.json,hamiltonian_cache/casscf_natorb_corrected_active_space_dt0p05/70800fe593f9ca5005ea16c4b5db8df4c093273c1365ad993f560847223c2625.npz,2cb804c90748437c8d5381a623aba4cea3ce1790b450c1c84b4adbea0550a8b3,"[""C"",""C"",""C"",""C"",""C"",""C"",""H"",""H"",""H"",""H""]",cc-pVTZ,0,2,6,6,12,-229.3696950180437,-229.36969501815025,True,"[16,18,19,20,24,27]",pyscf_canonical_rohf_mo_indices
H6_near_equi_cc_pVTZ_0,systems/H6_near_equi_cc_pVTZ_0/hamiltonian.npz,e02378b0c70849c09cc79f50372fa3ec92ef401f576c59ed9e3c69a3fe3d0923,systems/H6_near_equi_cc_pVTZ_0/inputs/source_integrals.npz,e8bf5a31a3e243d1e8fbad352da7fb9fd14892094782dd1b411818a685170ad8,systems/H6_near_equi_cc_pVTZ_0/metadata.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/H6 near equi._cc-pVTZ_0.json,hamiltonian_cache/casscf_natorb/e2a6a607c4f16ad9d459a0851074cb833e592b671190ff8e77d4f703ba34525c.npz,8cd88aebd4de3be92e5aa8b93e5d27ab65a28df7a78276519a5d86d5014aa428,"[""H"",""H"",""H"",""H"",""H"",""H""]",cc-pVTZ,0,0,6,6,12,-3.323389711558537,-3.3233897115681357,True,[],source cached CASSCF natural-orbital active space; global MO indices not exported
hexatriene_equi_cc_pVTZ_2,systems/hexatriene_equi_cc_pVTZ_2/hamiltonian.npz,e62c2d6410e744a515e6b498767b3aa100ed581c5f2bb63a228ecf399e211870,systems/hexatriene_equi_cc_pVTZ_2/inputs/source_integrals.npz,1187df0b3c1de1ad629296fd111a16706b2332b8547b464928996a7559d43e3f,systems/hexatriene_equi_cc_pVTZ_2/metadata.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/hexatriene equi._cc-pVTZ_2.json,hamiltonian_cache/casscf_natorb/644610caf9b1979087cea06803f18d0931df48c061a216eb9ea55846ab9e606e.npz,6fa54dcc8bdd52a84621dfd29242216532bac0ca009f1d873d93b6259c62c326,"[""C"",""C"",""C"",""C"",""C"",""C"",""H"",""H"",""H"",""H"",""H"",""H"",""H"",""H""]",cc-pVTZ,0,2,6,6,12,-231.86563211268302,-231.86563211268842,True,[],source cached CASSCF natural-orbital active space; global MO indices not exported
H6_near_equi_sto3g_0,systems/H6_near_equi_sto3g_0/hamiltonian.npz,a2ea458609177c61954f0447b986bacd52fe59b01bb6d586df83eeed59809c26,systems/H6_near_equi_sto3g_0/inputs/source_integrals.npz,09a1281223d2cd6112f6ef03863000c35915f8dc467d07f46eccf89983bcb389,systems/H6_near_equi_sto3g_0/metadata.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/H6 near equi._sto3g_0.json,hamiltonian_cache/casscf_natorb/8d30737e8e8d7b50419867a30d3c98c883e646e537fe6bdc87be63d5375cbb8b.npz,c64b7008c6d1eb7673a50b3a59d90172ed5f65093e71614f67607db35d29b58b,"[""H"",""H"",""H"",""H"",""H"",""H""]",sto-3g,0,0,6,6,12,-3.2360662798923414,-3.2360662799002746,True,[],source cached CASSCF natural-orbital active space; global MO indices not exported
CO_equi_cc_pVTZ_0,systems/CO_equi_cc_pVTZ_0/hamiltonian.npz,52670fbca9c30fbaf2705d68f08ea55e5769e5dc71a3880603a34b76b2c5a924,systems/CO_equi_cc_pVTZ_0/inputs/source_integrals.npz,deb4f12b776e7633cb7745066a98601ae3be805fdd4e0dda6e7ae5b874781114,systems/CO_equi_cc_pVTZ_0/metadata.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/CO equi._cc-pVTZ_0.json,hamiltonian_cache/casscf_natorb/d8595c22a35fd963529d5bed9ef016416316fa832c4c23512a1a012531b8d6e4.npz,7a97e00d85f7da39a60609e204b7da294869b148b021ac7eef5325d9c6607cd9,"[""C"",""O""]",cc-pVTZ,0,0,6,6,12,-112.89409377342591,-112.89409377343564,True,[],source cached CASSCF natural-orbital active space; global MO indices not exported
m_Benzyne_equi_cc_pVTZ_0,systems/m_Benzyne_equi_cc_pVTZ_0/hamiltonian.npz,1e755e92e3fe4b5086d3302634e91aee2102f316ce4dd42550298675be452629,systems/m_Benzyne_equi_cc_pVTZ_0/inputs/source_integrals.npz,fe5ef9e9a1406eef33a64057ec46566d5d93666977286e984ba6d2c8a5abdfae,systems/m_Benzyne_equi_cc_pVTZ_0/metadata.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/m-Benzyne equi._cc-pVTZ_0.json,hamiltonian_cache/casscf_natorb_corrected_active_space_dt0p05/07ff62eef137d7b341ea3d16258906731d235cd057ed1c8d66aa644b819407f9.npz,bfab941c5a4eaefe93db2181a79cf52c348d9c83bd7f9fc5e4984a371172d02b,"[""C"",""C"",""C"",""C"",""C"",""C"",""H"",""H"",""H"",""H""]",cc-pVTZ,0,0,6,6,12,-229.51416071300352,-229.51416071303908,True,"[15,18,19,20,24,27]",pyscf_canonical_rohf_mo_indices
FeO,systems/FeO/hamiltonian.npz,d4c1d2bb33743b6567c8ed1a4d4177fdf83be3f3c510bc2c6c0a3a9dbb22b49c,systems/FeO/inputs/source_integrals.npz,3b026289e3fd022dfb08144a6f4b27b6825efa0c21e9424dbf8b76088c65e981,systems/FeO/metadata.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/FeO.json,hamiltonian_cache/casscf_rohf_molvqe_fe_cases/4a84116875f0d78ce0e299432363b5026eae1692585dc18637d84761a65d4db8.npz,a34575e0d5d341087114803f0594427c04b2fe5e987dd0d99ca0f8771745a08c,"[""Fe"",""O""]",def2-TZVP,0,4,12,9,18,-1337.2890177002632,-1337.2890177158818,True,[],source cached CASSCF natural-orbital active space; global MO indices not exported
hexatriene_equi_cc_pVTZ_0,systems/hexatriene_equi_cc_pVTZ_0/hamiltonian.npz,be6180d553b0ff2bc75b7943571b96aadac0ae40eb400baae2dd8011b87d798b,systems/hexatriene_equi_cc_pVTZ_0/inputs/source_integrals.npz,82b409917f112b98ee4d642bf998f4c1678d1528c4496dc6f92e1a341ae24349,systems/hexatriene_equi_cc_pVTZ_0/metadata.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/hexatriene equi._cc-pVTZ_0.json,hamiltonian_cache/casscf_natorb/ee21ab9f1bb7bdc1965550fd80088dc5b8cc1c339ac14f1bab950316f5fde732.npz,180e4290f28b300eb1012979567dfdb42ce5b38b6c01c7314d760b7651adb17b,"[""C"",""C"",""C"",""C"",""C"",""C"",""H"",""H"",""H"",""H"",""H"",""H"",""H"",""H""]",cc-pVTZ,0,0,6,6,12,-231.97262390091163,-231.97262390092192,True,[],source cached CASSCF natural-orbital active space; global MO indices not exported
H7_near_equi_sto3g_1,systems/H7_near_equi_sto3g_1/hamiltonian.npz,98ede9a1cd50340d3db64756b11fc5cee951535bbb080a9e82540569648d41cf,systems/H7_near_equi_sto3g_1/inputs/source_integrals.npz,a67ec32351949bc5f665f3932cad371458998c5252bd8b0332508b12b45a632c,systems/H7_near_equi_sto3g_1/metadata.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/H7 near equi._sto3g_1.json,hamiltonian_cache/casscf_natorb/4cf1de68240dedd18ee9b32d4b52a7722fda3fa70faaa7347e63fafedafc0be3.npz,741aa177031c8bac62f3419a795460b38a942b82216a870ebd1b195f9c905f27,"[""H"",""H"",""H"",""H"",""H"",""H"",""H""]",sto-3g,0,1,7,7,14,-3.735487532197057,-3.735487532202722,True,[],source cached CASSCF natural-orbital active space; global MO indices not exported
fenoco3_minus,systems/fenoco3_minus/hamiltonian.npz,542bf40374f81a9b1bc3b798592ce0841723d895ef1953128708746b1bf4c22f,systems/fenoco3_minus/inputs/source_integrals.npz,af554b57c8d244d07da5b625560d4cc24c60eb942b550c48f51fee747024a874,systems/fenoco3_minus/metadata.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/fenoco3_minus.json,hamiltonian_cache/casscf_natorb_sfx2c1erohf_unconverged/81f2960da3054aab56acfd4abb301379881f27d14d1a107c8652ad4b849df461.npz,d6128ee40eea379532bae47a24d97271d2e1d380383d59adb76b56977a905ddc,"[""Fe"",""N"",""O"",""C"",""O"",""C"",""C"",""O"",""O""]",def2-TZVP,-1,0,10,8,16,-1737.7023563618047,-1737.702356361711,False,[],source cached CASSCF natural-orbital active space; global MO indices not exported
feno_2plus,systems/feno_2plus/hamiltonian.npz,a419977ea054e640286a4c63f36bb23580fc29208382d633a6189857603c08aa,systems/feno_2plus/inputs/source_integrals.npz,2af720afd48fa9b68394619043507edc257dc670bb5f6e3da4cf264bed76f3e0,systems/feno_2plus/metadata.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/feno_2plus.json,hamiltonian_cache/casscf_natorb_sfx2c1erohf/d05ff05948743c30710e6737104a6b7f861c578e089df5d59733ebcba4156039.npz,123f18d3a2777d93176e8c05d7dd40e285f8017c853035842e0b0019fc73d7f2,"[""Fe"",""N"",""O""]",cc-pvtz,2,3,11,9,18,-1398.4787643264515,-1398.4787643620946,True,[],source cached CASSCF natural-orbital active space; global MO indices not exported
H8_near_equi_sto3g_0,systems/H8_near_equi_sto3g_0/hamiltonian.npz,5e8180419abe339dae18cd7b0bc73ae4221ff6fd64773eeb1594d66f464e4e37,systems/H8_near_equi_sto3g_0/inputs/source_integrals.npz,c3a9d377e5189bf6ebb8a3bad34be9cb445649e18bab93566d8b54f92989b850,systems/H8_near_equi_sto3g_0/metadata.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/H8 near equi._sto3g_0.json,hamiltonian_cache/casscf_natorb/3a22435c192ab637af46c933d60b0970a7511f5206874c018a9900f972fa2a6a.npz,9c429f00245aa31d357eb1900f43f5be3a6328ed6e3c5f47a97ca8bba9f69033,"[""H"",""H"",""H"",""H"",""H"",""H"",""H"",""H""]",sto-3g,0,0,8,8,16,-4.307571601993609,-4.307571602002263,True,[],source cached CASSCF natural-orbital active space; global MO indices not exported
Al3_minus,systems/Al3_minus/hamiltonian.npz,285dd8cb56001980cf40069b3475e372f9e1198ab5fe04b6bba515624a5930a5,systems/Al3_minus/inputs/source_integrals.npz,96e97a242f757cb33831875b37538e572b13c0424652b3a5687bdf9411e4ee3e,systems/Al3_minus/metadata.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/Al3_minus.json,hamiltonian_cache/casscf_natorb/3c14c0647ea9fac54c78e3e9cc3138fa9025b9272f3ea3275482f2037259b951.npz,54ada4c0329de01f807889e1c050548e735667e32c60d1d656c18a9ef58467e8,"[""Al"",""Al"",""Al""]",def2-TZVP,-1,0,8,9,18,-725.7921857752825,-725.7922881364854,True,[],source cached CASSCF natural-orbital active space; global MO indices not exported
H9_near_equi_sto3g_1,systems/H9_near_equi_sto3g_1/hamiltonian.npz,55645accd1a216cf781350c3d13135191220dad31fa0b9acc8c9755b762875c6,systems/H9_near_equi_sto3g_1/inputs/source_integrals.npz,0e329161204a366d3fdd6e33e9114bc99e029cfea0cb5bed00445b0d99ca042f,systems/H9_near_equi_sto3g_1/metadata.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/H9 near equi._sto3g_1.json,hamiltonian_cache/casscf_natorb/00262abe9f01b7a883fe4118e5bd3e049a262f5dd9c9600afda7e602394ee7a8.npz,b1e5ee5f2306dedc6fff7f6b750fdff5605923d0ef01f0bdb2851d4d4bf72034,"[""H"",""H"",""H"",""H"",""H"",""H"",""H"",""H"",""H""]",sto-3g,0,1,9,9,18,-4.814010787321555,-4.814010787328446,True,[],source cached CASSCF natural-orbital active space; global MO indices not exported
H10_near_equi_sto3g_0,systems/H10_near_equi_sto3g_0/hamiltonian.npz,d91d8bea57c09950c80693766ff78d249cb6a8ffcd518671b972591c52ad4207,systems/H10_near_equi_sto3g_0/inputs/source_integrals.npz,bb2a1a6c29a4558b0ea239d5819b731415bcea1a3f872219e791e98203c06bcb,systems/H10_near_equi_sto3g_0/metadata.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/H10 near equi._sto3g_0.json,hamiltonian_cache/casscf_natorb/b85abbbb5ec22a2877ced40812ae912a8147189852226c318756b39db995e8de.npz,a478135552d5f813c0e893e6ce09cbca40f3f6cef003046b1bc6b1570d3323f9,"[""H"",""H"",""H"",""H"",""H"",""H"",""H"",""H"",""H"",""H""]",sto-3g,0,0,10,10,20,-5.379954745997448,-5.379954746006925,True,[],source cached CASSCF natural-orbital active space; global MO indices not exported
