case_id,source_name,source_json_path,symbols,geometry_bohr,geometry_angstrom,basis,charge,spin,active_electrons,active_orbitals,casscf_energy_hartree,renyi_alpha,h0.25,chemical_accuracy_hartree,adapt_chem_accuracy_iteration,has_adapt_chem_hit,final_num_iterations,final_reason
CH2O_equi_cc_pVTZ_2,CH2O equi._cc-pVTZ_2.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/CH2O equi._cc-pVTZ_2.json,"[""C"",""O"",""H"",""H""]","[[0.0,0.0,0.0],[0.0,0.0,2.273567294986717],[1.7705173062368351,0.0,-1.0903799674155477],[-1.7705173062368351,0.0,-1.0903799674155477]]","[[0.0,0.0,0.0],[0.0,0.0,1.203119999961349],[0.936917409969901,0.0,-0.5770042299814635],[-0.936917409969901,0.0,-0.5770042299814635]]",cc-pVTZ,0,2,6,6,-113.8291472051797,0.25,1.994618284788223,0.0016,7,true,7,target
CH2O_equi_cc_pVTZ_0,CH2O equi._cc-pVTZ_0.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/CH2O equi._cc-pVTZ_0.json,"[""C"",""O"",""H"",""H""]","[[0.0,0.0,0.0],[0.0,0.0,2.273567294986717],[1.7705173062368351,0.0,-1.0903799674155477],[-1.7705173062368351,0.0,-1.0903799674155477]]","[[0.0,0.0,0.0],[0.0,0.0,1.203119999961349],[0.936917409969901,0.0,-0.5770042299814635],[-0.936917409969901,0.0,-0.5770042299814635]]",cc-pVTZ,0,0,6,6,-114.02162279867512,0.25,2.8150632006176095,0.0016,6,true,9,target
H6_near_equi_cc_pVTZ_2,H6 near equi._cc-pVTZ_2.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/H6 near equi._cc-pVTZ_2.json,"[""H"",""H"",""H"",""H"",""H"",""H""]","[[0.0,0.0,0.0],[0.0,0.0,1.8897261245650618],[0.0,0.0,3.7794522491301237],[0.0,0.0,5.6691783736951855],[0.0,0.0,7.558904498260247],[0.0,0.0,9.44863062282531]]","[[0.0,0.0,0.0],[0.0,0.0,0.9999999999678745],[0.0,0.0,1.999999999935749],[0.0,0.0,2.9999999999036233],[0.0,0.0,3.999999999871498],[0.0,0.0,4.999999999839373]]",cc-pVTZ,0,2,6,6,-3.1849788446911473,0.25,3.3042107888407966,0.0016,12,true,17,target
H6_near_equi_cc_pVTZ_0,H6 near equi._cc-pVTZ_0.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/H6 near equi._cc-pVTZ_0.json,"[""H"",""H"",""H"",""H"",""H"",""H""]","[[0.0,0.0,0.0],[0.0,0.0,1.8897261245650618],[0.0,0.0,3.7794522491301237],[0.0,0.0,5.6691783736951855],[0.0,0.0,7.558904498260247],[0.0,0.0,9.44863062282531]]","[[0.0,0.0,0.0],[0.0,0.0,0.9999999999678745],[0.0,0.0,1.999999999935749],[0.0,0.0,2.9999999999036233],[0.0,0.0,3.999999999871498],[0.0,0.0,4.999999999839373]]",cc-pVTZ,0,0,6,6,-3.323389711558537,0.25,3.6163748590503406,0.0016,12,true,23,target
H6_near_equi_sto3g_0,H6 near equi._sto3g_0.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/H6 near equi._sto3g_0.json,"[""H"",""H"",""H"",""H"",""H"",""H""]","[[-4.724315311412655,0.0,0.0],[-2.8345891868475928,0.0,0.0],[-0.9448630622825309,0.0,0.0],[0.9448630622825309,0.0,0.0],[2.8345891868475928,0.0,0.0],[4.724315311412655,0.0,0.0]]","[[-2.4999999999196865,0.0,0.0],[-1.4999999999518117,0.0,0.0],[-0.49999999998393724,0.0,0.0],[0.49999999998393724,0.0,0.0],[1.4999999999518117,0.0,0.0],[2.4999999999196865,0.0,0.0]]",sto-3g,0,0,6,6,-3.2360662798923414,0.25,3.645659903694176,0.0016,11,true,31,target
m_Benzyne_equi_cc_pVTZ_2,m-Benzyne equi._cc-pVTZ_2.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/m-Benzyne equi._cc-pVTZ_2.json,"[""C"",""C"",""C"",""C"",""C"",""C"",""H"",""H"",""H"",""H""]","[[1.757383,0.191946,9.7e-05],[1.576372,2.730365,-7.2e-05],[-0.712456,1.617906,0.0001],[-2.640661,-0.147431,0.000346],[-1.473558,-2.552274,0.000274],[1.192652,-2.360594,0.000341],[2.590215,4.486384,-0.000286],[-4.632911,0.215227,-0.00023],[-2.49086,-4.314292,-0.000343],[2.502846,-3.904608,-0.000228]]","[[0.9299670344283467,0.10157344892398723,5.1330189457591e-05],[0.8341801383055839,1.4448469354471694,-3.8100759185016e-05],[-0.3770154789711077,0.8561589845832291,5.29177210903e-05],[-1.397377622920327,-0.07801712538064019,0.00018309531497243798],[-0.7797733125438028,-1.3506052367802435,0.000144994555787422],[0.6311242589378847,-1.2491725489943561,0.000180449428917923],[1.370682749339114,2.3740921721598447,-0.000151344682318258],[-2.4516309213418284,0.11389322357101997,-0.00012171075850768999],[-1.3181063475498465,-2.2830250075811254,-0.000181507783339729],[1.3244490655997299,-2.066229571109541,-0.000120652404085884]]",cc-pVTZ,0,2,6,6,-229.3696950180437,0.25,3.4498820851981904,0.0016,11,true,14,target
m_Benzyne_equi_cc_pVTZ_0,m-Benzyne equi._cc-pVTZ_0.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/m-Benzyne equi._cc-pVTZ_0.json,"[""C"",""C"",""C"",""C"",""C"",""C"",""H"",""H"",""H"",""H""]","[[1.757383,0.191946,9.7e-05],[1.576372,2.730365,-7.2e-05],[-0.712456,1.617906,0.0001],[-2.640661,-0.147431,0.000346],[-1.473558,-2.552274,0.000274],[1.192652,-2.360594,0.000341],[2.590215,4.486384,-0.000286],[-4.632911,0.215227,-0.00023],[-2.49086,-4.314292,-0.000343],[2.502846,-3.904608,-0.000228]]","[[0.9299670344283467,0.10157344892398723,5.1330189457591e-05],[0.8341801383055839,1.4448469354471694,-3.8100759185016e-05],[-0.3770154789711077,0.8561589845832291,5.29177210903e-05],[-1.397377622920327,-0.07801712538064019,0.00018309531497243798],[-0.7797733125438028,-1.3506052367802435,0.000144994555787422],[0.6311242589378847,-1.2491725489943561,0.000180449428917923],[1.370682749339114,2.3740921721598447,-0.000151344682318258],[-2.4516309213418284,0.11389322357101997,-0.00012171075850768999],[-1.3181063475498465,-2.2830250075811254,-0.000181507783339729],[1.3244490655997299,-2.066229571109541,-0.000120652404085884]]",cc-pVTZ,0,0,6,6,-229.51416071300352,0.25,3.743555647974066,0.0016,14,true,22,target
hexatriene_equi_cc_pVTZ_2,hexatriene equi._cc-pVTZ_2.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/hexatriene equi._cc-pVTZ_2.json,"[""C"",""C"",""C"",""C"",""C"",""C"",""H"",""H"",""H"",""H"",""H"",""H"",""H"",""H""]","[[5.775254,-0.663595,-1.9e-05],[3.573499,0.587093,2.8e-05],[1.103206,-0.631994,-2e-06],[-1.103206,0.631993,1e-05],[-3.573499,-0.587093,3.4e-05],[-5.775253,0.663595,-2.2e-05],[7.547625,0.318925,8e-06],[5.846438,-2.692794,-9.3e-05],[3.59,2.620636,9.4e-05],[1.081607,-2.666792,-4.9e-05],[-1.081608,2.666792,9e-06],[-3.59,-2.620636,0.000115],[-5.846438,2.692794,-0.000129],[-7.547624,-0.318924,1.5e-05]]","[[3.056132803976394,-0.3511593512691763,-1.0054367007157e-05],[1.8910142339846594,0.3106762362806749,1.4816961905283998e-05],[0.5837914741314549,-0.33443682222743054,-1.058354421806e-06],[-0.5837914741314549,0.33443629305021966,5.2917721090300005e-06],[-1.8910142339846594,-0.3106762362806749,1.7992025170702e-05],[-3.0561322747991833,0.3511593512691763,-1.1641898639865999e-05],[3.9940311464417553,0.16876784198723926,4.233417687224e-06],[3.093801754557313,-1.4249652184563328,-4.921348061397899e-05],[1.8997461871417698,1.3867808492719944,4.9742657824881995e-05],[0.572361775553161,-1.411205552618433,-2.5929683334246997e-05],[-0.572362304730372,1.411205552618433,4.762594898127e-06],[-1.8997461871417698,-1.3867808492719944,6.0855379253844996e-05],[-3.093801754557313,1.4249652184563328,-6.8263860206487e-05],[-3.9940306172645443,-0.16876731281002835,7.937658163545e-06]]",cc-pVTZ,0,2,6,6,-231.86563211268302,0.25,3.6327331004268526,0.0016,17,true,18,target
hexatriene_equi_cc_pVTZ_0,hexatriene equi._cc-pVTZ_0.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/hexatriene equi._cc-pVTZ_0.json,"[""C"",""C"",""C"",""C"",""C"",""C"",""H"",""H"",""H"",""H"",""H"",""H"",""H"",""H""]","[[5.775254,-0.663595,-1.9e-05],[3.573499,0.587093,2.8e-05],[1.103206,-0.631994,-2e-06],[-1.103206,0.631993,1e-05],[-3.573499,-0.587093,3.4e-05],[-5.775253,0.663595,-2.2e-05],[7.547625,0.318925,8e-06],[5.846438,-2.692794,-9.3e-05],[3.59,2.620636,9.4e-05],[1.081607,-2.666792,-4.9e-05],[-1.081608,2.666792,9e-06],[-3.59,-2.620636,0.000115],[-5.846438,2.692794,-0.000129],[-7.547624,-0.318924,1.5e-05]]","[[3.056132803976394,-0.3511593512691763,-1.0054367007157e-05],[1.8910142339846594,0.3106762362806749,1.4816961905283998e-05],[0.5837914741314549,-0.33443682222743054,-1.058354421806e-06],[-0.5837914741314549,0.33443629305021966,5.2917721090300005e-06],[-1.8910142339846594,-0.3106762362806749,1.7992025170702e-05],[-3.0561322747991833,0.3511593512691763,-1.1641898639865999e-05],[3.9940311464417553,0.16876784198723926,4.233417687224e-06],[3.093801754557313,-1.4249652184563328,-4.921348061397899e-05],[1.8997461871417698,1.3867808492719944,4.9742657824881995e-05],[0.572361775553161,-1.411205552618433,-2.5929683334246997e-05],[-0.572362304730372,1.411205552618433,4.762594898127e-06],[-1.8997461871417698,-1.3867808492719944,6.0855379253844996e-05],[-3.093801754557313,1.4249652184563328,-6.8263860206487e-05],[-3.9940306172645443,-0.16876731281002835,7.937658163545e-06]]",cc-pVTZ,0,0,6,6,-231.97262390091163,0.25,3.926060611953842,0.0016,13,true,26,target
H7_near_equi_sto3g_1,H7 near equi._sto3g_1.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/H7 near equi._sto3g_1.json,"[""H"",""H"",""H"",""H"",""H"",""H"",""H""]","[[-5.6691783736951855,0.0,0.0],[-3.7794522491301237,0.0,0.0],[-1.8897261245650618,0.0,0.0],[0.0,0.0,0.0],[1.8897261245650618,0.0,0.0],[3.7794522491301237,0.0,0.0],[5.6691783736951855,0.0,0.0]]","[[-2.9999999999036233,0.0,0.0],[-1.999999999935749,0.0,0.0],[-0.9999999999678745,0.0,0.0],[0.0,0.0,0.0],[0.9999999999678745,0.0,0.0],[1.999999999935749,0.0,0.0],[2.9999999999036233,0.0,0.0]]",sto-3g,0,1,7,7,-3.735487532197057,0.25,4.681725426391032,0.0016,29,true,74,target
H8_near_equi_sto3g_0,H8 near equi._sto3g_0.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/H8 near equi._sto3g_0.json,"[""H"",""H"",""H"",""H"",""H"",""H"",""H"",""H""]","[[-6.614041435977716,0.0,0.0],[-4.724315311412655,0.0,0.0],[-2.8345891868475928,0.0,0.0],[-0.9448630622825309,0.0,0.0],[0.9448630622825309,0.0,0.0],[2.8345891868475928,0.0,0.0],[4.724315311412655,0.0,0.0],[6.614041435977716,0.0,0.0]]","[[-3.4999999998875606,0.0,0.0],[-2.4999999999196865,0.0,0.0],[-1.4999999999518117,0.0,0.0],[-0.49999999998393724,0.0,0.0],[0.49999999998393724,0.0,0.0],[1.4999999999518117,0.0,0.0],[2.4999999999196865,0.0,0.0],[3.4999999998875606,0.0,0.0]]",sto-3g,0,0,8,8,-4.307571601993609,0.25,5.703579641582878,0.0016,55,true,200,max_iter
fenoco3_minus,fenoco3_minus.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/fenoco3_minus.json,"[""Fe"",""N"",""O"",""C"",""O"",""C"",""C"",""O"",""O""]","[[0.000919967,0.0,0.377887191],[0.000616235,0.0,3.51545077],[-0.000243338,0.0,5.774469393],[2.998552204,0.0,-1.129057268],[5.000998269,0.0,-2.08598503],[-1.498998999,-2.595198162,-1.12928017],[-1.498998999,2.595198162,-1.12928017],[-2.501423614,-4.328421822,-2.086665401],[-2.501423614,4.328421822,-2.086665401]]","[[0.0004868255711828002,0.0,0.19996928976934925],[0.0003260975185608102,0.0,1.8602964335354037],[-0.0001287689241467142,0.0,3.0557176078324795],[1.5867654920597634,0.0,-0.5974713760300009],[2.646414315720151,0.0,-1.1038557401608107],[-0.7932361094372089,-1.3733197251077518,-0.5975893306886656],[-0.7932361094372089,1.3733197251077518,-0.5975893306886656],[-1.3236963713434224,-2.2905021873776414,-1.10421577698897],[-1.3236963713434224,2.2905021873776414,-1.10421577698897]]",def2-TZVP,-1,0,10,8,-1737.7023563618047,0.25,5.19675874877606,0.0016,32,true,81,target
FeO,FeO.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/FeO.json,"[""Fe"",""O""]","[[0.0,0.0,0.0],[0.0,0.0,3.060222486120661]]","[[0.0,0.0,0.0],[0.0,0.0,1.619399999947976]]",def2-TZVP,0,4,12,9,-1337.2890177002632,0.25,3.8687871848397837,0.0016,11,true,21,target
Al3_minus,Al3_minus.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/Al3_minus.json,"[""Al"",""Al"",""Al""]","[[0.0,2.7363129970820017,0.0],[-2.3697165602045875,-1.3681564985410009,0.0],[2.3697165602045875,-1.3681564985410009,0.0]]","[[0.0,1.4479944799534823,0.0],[-1.2539999999597147,-0.7239972399767411,0.0],[1.2539999999597147,-0.7239972399767411,0.0]]",def2-TZVP,-1,0,8,9,-725.7921857752825,0.25,6.428074004502384,0.0016,63,true,189,target
feno_2plus,feno_2plus.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/feno_2plus.json,"[""Fe"",""N"",""O""]","[[0.0,0.0,0.0],[0.0,0.0,3.2257624946325607],[1.2437610434049868,0.0,5.069713783282284]]","[[0.0,0.0,0.0],[0.0,0.0,1.706999999945162],[0.6581699999788561,0.0,2.682776999913815]]",cc-pvtz,2,3,11,9,-1398.4787643264515,0.25,5.49249098761899,0.0016,29,true,84,target
H9_near_equi_sto3g_1,H9 near equi._sto3g_1.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/H9 near equi._sto3g_1.json,"[""H"",""H"",""H"",""H"",""H"",""H"",""H"",""H"",""H""]","[[-7.558904498260247,0.0,0.0],[-5.6691783736951855,0.0,0.0],[-3.7794522491301237,0.0,0.0],[-1.8897261245650618,0.0,0.0],[0.0,0.0,0.0],[1.8897261245650618,0.0,0.0],[3.7794522491301237,0.0,0.0],[5.6691783736951855,0.0,0.0],[7.558904498260247,0.0,0.0]]","[[-3.999999999871498,0.0,0.0],[-2.9999999999036233,0.0,0.0],[-1.999999999935749,0.0,0.0],[-0.9999999999678745,0.0,0.0],[0.0,0.0,0.0],[0.9999999999678745,0.0,0.0],[1.999999999935749,0.0,0.0],[2.9999999999036233,0.0,0.0],[3.999999999871498,0.0,0.0]]",sto-3g,0,1,9,9,-4.814010787321555,0.25,6.743826020542393,0.0016,142,true,200,max_iter
H10_near_equi_sto3g_0,H10 near equi._sto3g_0.json,dataset/zenodo_19051536/extracted/data_repository/MolVQE-21/H10 near equi._sto3g_0.json,"[""H"",""H"",""H"",""H"",""H"",""H"",""H"",""H"",""H"",""H""]","[[-8.503767560542778,0.0,0.0],[-6.614041435977716,0.0,0.0],[-4.724315311412655,0.0,0.0],[-2.8345891868475928,0.0,0.0],[-0.9448630622825309,0.0,0.0],[0.9448630622825309,0.0,0.0],[2.8345891868475928,0.0,0.0],[4.724315311412655,0.0,0.0],[6.614041435977716,0.0,0.0],[8.503767560542778,0.0,0.0]]","[[-4.499999999855436,0.0,0.0],[-3.4999999998875606,0.0,0.0],[-2.4999999999196865,0.0,0.0],[-1.4999999999518117,0.0,0.0],[-0.49999999998393724,0.0,0.0],[0.49999999998393724,0.0,0.0],[1.4999999999518117,0.0,0.0],[2.4999999999196865,0.0,0.0],[3.4999999998875606,0.0,0.0],[4.499999999855436,0.0,0.0]]",sto-3g,0,0,10,10,-5.379954745997448,0.25,7.818083252632531,0.0016,,false,,
